Mr  xH
9.676969e-01 6.999999e-01
9.686580e-01 6.999999e-01
9.695923e-01 6.999999e-01
9.705003e-01 6.999999e-01
9.713827e-01 6.999999e-01
9.722402e-01 6.999999e-01
9.730735e-01 7.000000e-01
9.738830e-01 7.000000e-01
9.746695e-01 7.000000e-01
9.754336e-01 7.000000e-01
9.761757e-01 7.000000e-01
9.768966e-01 7.000000e-01
9.775967e-01 7.000000e-01
9.782766e-01 7.000000e-01
9.789369e-01 7.000000e-01
9.795780e-01 7.000000e-01
9.802005e-01 7.000000e-01
9.808049e-01 7.000000e-01
9.813917e-01 7.000000e-01
9.819612e-01 7.000000e-01
9.825141e-01 7.000000e-01
9.830508e-01 7.000000e-01
9.835717e-01 7.000000e-01
9.840772e-01 7.000000e-01
9.845678e-01 7.000000e-01
9.850439e-01 7.000000e-01
9.855059e-01 7.000000e-01
9.859541e-01 7.000000e-01
9.863890e-01 7.000000e-01
9.868110e-01 7.000000e-01
9.872204e-01 7.000000e-01
9.876175e-01 7.000000e-01
9.880027e-01 7.000000e-01
9.883764e-01 7.000000e-01
9.887388e-01 7.000000e-01
9.890904e-01 7.000000e-01
9.894313e-01 7.000000e-01
9.897620e-01 7.000000e-01
9.900826e-01 7.000000e-01
9.903936e-01 7.000000e-01
9.906951e-01 7.000000e-01
9.909875e-01 7.000000e-01
9.912709e-01 7.000000e-01
9.915458e-01 7.000000e-01
9.918123e-01 7.000000e-01
9.920706e-01 7.000000e-01
9.923210e-01 7.000000e-01
9.925638e-01 7.000000e-01
9.927991e-01 7.000000e-01
9.930272e-01 7.000000e-01
9.932483e-01 7.000000e-01
9.934626e-01 7.000000e-01
9.936703e-01 7.000000e-01
9.938716e-01 7.000000e-01
9.940666e-01 7.000000e-01
9.942557e-01 7.000000e-01
9.944388e-01 7.000000e-01
9.946163e-01 7.000000e-01
9.947883e-01 7.000000e-01
9.949550e-01 7.000000e-01
9.951164e-01 7.000000e-01
9.952729e-01 7.000000e-01
9.954244e-01 7.000000e-01
9.955712e-01 7.000000e-01
9.957134e-01 7.000000e-01
9.958512e-01 7.000000e-01
9.959847e-01 7.000000e-01
9.961140e-01 7.000000e-01
9.962392e-01 7.000000e-01
9.963604e-01 7.000000e-01
9.964779e-01 7.000000e-01
9.965917e-01 7.000000e-01
9.967018e-01 7.000000e-01
9.968085e-01 7.000000e-01
9.969119e-01 7.000000e-01
9.970119e-01 7.000000e-01
9.971088e-01 7.000000e-01
9.972026e-01 7.000000e-01
9.972935e-01 7.000000e-01
9.973814e-01 7.000000e-01
9.974666e-01 7.000000e-01
9.975490e-01 7.000000e-01
9.976288e-01 7.000000e-01
9.977061e-01 7.000000e-01
9.977809e-01 7.000000e-01
9.978534e-01 7.000000e-01
9.979235e-01 7.000000e-01
9.979913e-01 7.000000e-01
9.980570e-01 7.000000e-01
9.981206e-01 7.000000e-01
9.981822e-01 7.000000e-01
9.982417e-01 7.000000e-01
9.982994e-01 7.000000e-01
9.983552e-01 7.000000e-01
9.984092e-01 7.000000e-01
9.984615e-01 7.000000e-01
9.985120e-01 7.000000e-01
9.985610e-01 7.000000e-01
9.986084e-01 7.000000e-01
9.986542e-01 7.000000e-01
9.986986e-01 7.000000e-01
9.987415e-01 7.000000e-01
9.987830e-01 7.000000e-01
9.988232e-01 7.000000e-01
9.988621e-01 7.000000e-01
9.988997e-01 7.000000e-01
9.989361e-01 7.000000e-01
9.989713e-01 7.000000e-01
9.990054e-01 7.000000e-01
9.990384e-01 7.000000e-01
9.990703e-01 7.000000e-01
9.991011e-01 7.000000e-01
9.991310e-01 7.000000e-01
9.991598e-01 7.000000e-01
9.991878e-01 7.000000e-01
9.992148e-01 7.000000e-01
9.992409e-01 7.000000e-01
9.992662e-01 7.000000e-01
9.992907e-01 7.000000e-01
9.993143e-01 7.000000e-01
9.993372e-01 7.000000e-01
9.993593e-01 7.000000e-01
9.993807e-01 7.000000e-01
9.994014e-01 7.000000e-01
9.994215e-01 7.000000e-01
9.994408e-01 7.000000e-01
9.994595e-01 7.000000e-01
9.994777e-01 7.000000e-01
9.994952e-01 7.000000e-01
9.995121e-01 7.000000e-01
9.995285e-01 7.000000e-01
9.995443e-01 7.000000e-01
9.995596e-01 7.000000e-01
9.995745e-01 7.000000e-01
9.995888e-01 7.000000e-01
9.996026e-01 7.000000e-01
9.996160e-01 7.000000e-01
9.996290e-01 7.000000e-01
9.996415e-01 7.000000e-01
9.996536e-01 7.000000e-01
9.996653e-01 7.000000e-01
9.996766e-01 7.000000e-01
9.996876e-01 7.000000e-01
9.996981e-01 7.000000e-01
9.997084e-01 7.000000e-01
9.997183e-01 7.000000e-01
9.997278e-01 7.000000e-01
9.997371e-01 7.000000e-01
9.997460e-01 7.000000e-01
9.997546e-01 7.000000e-01
9.997630e-01 7.000000e-01
9.997711e-01 7.000000e-01
9.997789e-01 7.000000e-01
9.997864e-01 7.000000e-01
9.997937e-01 7.000000e-01
9.998007e-01 7.000000e-01
9.998076e-01 7.000000e-01
9.998141e-01 7.000000e-01
9.998205e-01 7.000000e-01
9.998267e-01 7.000000e-01
9.998326e-01 7.000000e-01
9.998384e-01 7.000000e-01
9.998439e-01 7.000000e-01
9.998493e-01 7.000000e-01
9.998545e-01 7.000000e-01
9.998595e-01 7.000000e-01
9.998643e-01 7.000000e-01
9.998690e-01 7.000000e-01
9.998736e-01 7.000000e-01
9.998779e-01 7.000000e-01
9.998822e-01 7.000000e-01
9.998863e-01 7.000000e-01
9.998902e-01 7.000000e-01
9.998940e-01 7.000000e-01
9.998977e-01 7.000000e-01
9.999013e-01 7.000000e-01
